objectid,mun_italian,mun_german,plz,loc_german,loc_italian,unkat_de,ctolomei2
26980,Badia,Abtei,39036,Adang,Adan,"409 - Weiler, Häusergruppe",1
27180,Curon Venosta,Graun im Vinschgau,39027,Langtaufers,Vallelunga,302 - Großes Gebiet,2
28582,Badia,Abtei,39036,St. Leonhard,S. Leonardo,408 - Ort < 1.000 Einwohner,4
30744,Senales,Schnals,39020,Schnals,Senales,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,5
30826,Moso in Passiria,Moos in Passeier,39013,Pill,Bovile,304 - Kleines Gebiet,4
31282,Tesimo,Tisens,39010,Schernag,Schernag,408 - Ort < 1.000 Einwohner,3
31734,Caldaro,Kaltern,39052,Sankt Anton,Sant’Antonio,408 - Ort < 1.000 Einwohner,4
34477,Sarentino,Sarntal,39058,Muls,Mules,"409 - Weiler, Häusergruppe",5
35622,Scena,Schenna,39017,Schönnaberg,Montescena,304 - Kleines Gebiet,1
36026,Castelrotto,Kastelruth,39040,Überwasser,Oltretorrente,408 - Ort < 1.000 Einwohner,3
39047,Funes,Villnöss,39040,Sankt Peter,San Pietro,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,4
39134,Aldino,Aldein,39040,Oberradein,Redagno di Sopra,408 - Ort < 1.000 Einwohner,3
39641,Vandoies,Vintl,39030,Huntsdorf,Huntsorf,408 - Ort < 1.000 Einwohner,4
40886,Rodengo,Rodeneck,39037,St. Pauls,S. Paolo,"409 - Weiler, Häusergruppe",4
41031,Trodena,Truden,39040,Koppara,Copara,410 - Einzelhaus,2
41892,Nova Ponente,Deutschnofen,39050,Obereggen,Obereggen,"409 - Weiler, Häusergruppe",6
43598,Braies,Prags,39030,Innerprags,Braies di Dentro,303 - Mittelgroßes Gebiet,5
45131,Caldaro,Kaltern,39052,St. Josef am See,S. Giuseppe al Lago,412 - Historisches Bauwerk,4
45634,Selva dei Molini,Mühlwald,39030,Außermühlwald,Selva dei Molini (di Fuori),303 - Mittelgroßes Gebiet,4
46021,Renon,Ritten,39054,Siffian,Siffiano,"409 - Weiler, Häusergruppe",3
46481,Vandoies,Vintl,39030,Hinterdrttel,Terzo di Dentro,303 - Mittelgroßes Gebiet,4
46857,Stelvio,Stilfs,39029,Stilfs,Stelvio,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
47857,Braies,Prags,39030,Schmieden,Ferrara,408 - Ort < 1.000 Einwohner,4
49121,Termeno,Tramin,39040,Kastellaz,Castellaccio,304 - Kleines Gebiet,2
49502,Racines,Ratschings,39040,Mittertal,Val di Mezzo,408 - Ort < 1.000 Einwohner,4
52806,S.Martino in Badia,St.Martin in Thurn,39030,Seres,Seres,"409 - Weiler, Häusergruppe",1
54055,Vipiteno,Sterzing,39049,Unterried,Novale di Sotto,408 - Ort < 1.000 Einwohner,3
54246,Val di Vizze,Pfitsch,39049,St. Jakob,S. Giacomo,303 - Mittelgroßes Gebiet,4
54798,Rasun Anterselva,Rasen-Antholz,39030,Antholz-Mittertal,Anterselva di Mezzo,408 - Ort < 1.000 Einwohner,4
56110,S.Lorenzo di Sebato,St.Lorenzen,39030,St. Martin-Moos,San Martino-Palù,408 - Ort < 1.000 Einwohner,1
56563,Sesto,Sexten,39030,Moos,Moso,408 - Ort < 1.000 Einwohner,6
56959,Tesimo,Tisens,39010,Prissian,Prissiano,408 - Ort < 1.000 Einwohner,3
59918,Lagundo,Algund,39022,Schloss Plars,Castello Plars,412 - Historisches Bauwerk,0
61792,Rasun Anterselva,Rasen-Antholz,39030,Antholz-Obertal,Anterselva di Sopra,303 - Mittelgroßes Gebiet,4
62368,Braies,Prags,39030,Brückele,Ponticello,304 - Kleines Gebiet,4
62477,Castelrotto,Kastelruth,39040,St. Vigil,San Vigilio,"409 - Weiler, Häusergruppe",4
63081,Lana,Lana,39011,St. Margarethen,S. Margherita,412 - Historisches Bauwerk,4
65876,Marlengo,Marling,39020,Nörder,Tramontana,303 - Mittelgroßes Gebiet,4
65918,Montagna,Montan,39040,Kalditsch,Doladizza,408 - Ort < 1.000 Einwohner,2
67488,Racines,Ratschings,39040,Untertelfes,Telves di Sotto,408 - Ort < 1.000 Einwohner,1
70384,Curon Venosta,Graun im Vinschgau,39027,Anger,Maso Angher,"409 - Weiler, Häusergruppe",4
71290,Racines,Ratschings,39040,Gasteig,Casateia,408 - Ort < 1.000 Einwohner,5
71817,Bressanone,Brixen,39042,Musberg,Monte Muschio,304 - Kleines Gebiet,4
72493,Barbiano,Barbian,39040,Saubach,Saubach,"409 - Weiler, Häusergruppe",6
72611,Vandoies,Vintl,39030,Schaldern,Scalder,"409 - Weiler, Häusergruppe",6
73708,Vandoies,Vintl,39030,Weitenberg,Alpe di Monte Largo,303 - Mittelgroßes Gebiet,4
75009,S.Martino in Badia,St.Martin in Thurn,39030,Valdander,Valdander,304 - Kleines Gebiet,1
75065,Naz-Sciaves,Natz-Schabs,39040,Aicha,Aica,408 - Ort < 1.000 Einwohner,5
75755,Senales,Schnals,39020,Pfossental,Valle di Fosse,302 - Großes Gebiet,4
77072,Avelengo,Hafling,39010,St. Katharina,S. Caterina,412 - Historisches Bauwerk,4
77739,Ultimo,Ulten,39016,Ulten,Oltemo,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
78694,Curon Venosta,Graun im Vinschgau,39027,Dörfl,Monteplair,408 - Ort < 1.000 Einwohner,3
80193,Valle di Casies,Gsies,39030,Karbach,Quaira,303 - Mittelgroßes Gebiet,5
81102,Merano,Meran,39012,Mais,Maia,406 - Ort > 5.000 Einwohner,2
84360,Selva di Val Gardena,Wolkenstein in Gröden,39048,Plan,Plan,"409 - Weiler, Häusergruppe",1
84644,Fortezza,Franzensfeste,39045,Sack,Sacco,304 - Kleines Gebiet,4
89658,Val di Vizze,Pfitsch,39049,Fussendras,Fossa Trues,"409 - Weiler, Häusergruppe",3
90972,Fie' allo Sciliar,Völs am Schlern,39050,St. Kathrein,S. Caterina,"409 - Weiler, Häusergruppe",4
91851,Castelrotto,Kastelruth,39040,Tschapit,Cepei,303 - Mittelgroßes Gebiet,3
91899,Funes,Villnöss,39040,Sankt Magdalena,Santa Maddalena,408 - Ort < 1.000 Einwohner,4
92004,Malles Venosta,Mals,39024,Amberg,Al Monte,"409 - Weiler, Häusergruppe",4
93215,Selva di Val Gardena,Wolkenstein in Gröden,39048,Plan de Tieja,Plan de Tiesa,408 - Ort < 1.000 Einwohner,3
93360,Bressanone,Brixen,39042,St. Georgen in Afers,S. Giorgio in Eores,408 - Ort < 1.000 Einwohner,3
94454,Senale-S.Felice,U.L.Frau i.W.-St.Felix,39010,Kofler,Covolo,410 - Einzelhaus,3
94955,Rodengo,Rodeneck,39037,Gifen,Chivo,408 - Ort < 1.000 Einwohner,3
95163,Rasun Anterselva,Rasen-Antholz,39030,Passler,Passler,304 - Kleines Gebiet,0
95564,Campo Tures,Sand in Taufers,39032,St. Moritzen,S. Maurizio,412 - Historisches Bauwerk,4
96032,Corvara in Badia,Corvara,39033,Pescosta,Pescosta,408 - Ort < 1.000 Einwohner,1
